Name,System,Book,Wt,Availability,Description
Clip,BC,Core,0,Abundant,A clip of basic ammunition for the specified weapon to be reloaded once.
Chaos Symbol Pendant,BC,Core,0,Rare,A necklace that looks like the Star of Chaos
Unholy Tomes,BC,Core,0,Rare,EVIL BOOKS!
Unholy Unguents,BC,Core,0,Rare,Something that's unholy and an unguent
Combi-Tool,BC,Core,1,Rare,"Most combi-tools are small compact devices, filled with foldout and extending probes, blades, hooks, and socket-plugs ideal for coaxing operation from recalcitrant machinery, repairing damaged devices, and in general bending errant machine spirits to the will of the user. Using a combi-tool grants a +10 bonus to Tech-Use Tests."
Dataslate,BC,Core,0.5,Common,"Flat and rectangular, data-slates are widespread throughout Imperial space and are used to store text and other media. Cheap versions can only hold a single file and cannot be altered, while superior slates can be reconfi gured with different information from manual input or machine transmission and even transmit the data to other devices. Since they are seen throughout the Imperium, most authorities would never think to closely examine what information was actually on a slate carried by a “loyal” citizen in their daily business."
Medikit,BC,Core,2,Common,"Small, compact, and reliable, medi-kits are an essential part of anyone operating outside of Imperial society or away from easy access to medicae support. Each has a diagnostic cogitator complete with bio-scanner and probes, along with chemicals, drugs, and other means to treat a variety of injuries and ailments and will grant a +20 to those using it in conjunction with the Medicae Skill. Advanced models include such items as tox wands, synth-skin applicators, and other aids usually available only to the wealthiest of the Imperial elite. These gain the +20 bonus even if not possessing the Medicae Skill, but weight +3 kg and are Rare instead of Common."
Psy-focus,BC,Core,0,Average,"Also known as warp-totems or mind-eyes, a psy-focus allows those blessed with Warp powers to more easily channel their powers. It could be an ancestral bone, irradiated crystal, the twisted metal shrapnel fragment removed from a murdered spouse, or even an otherwise unremarkable object normally found anywhere. But in the hands of a psyker ready to use his powers against an Imperium that would sentence him to death or worse, the item is a mighty accessory. When a psyker with a psy-focus makes a Focus Power Test (see Chapter VI: Psychic Powers, page 208) he gains a +10 bonus."
Ballistic Mechadendrite,BC,Core,0,Very Rare,"A common upgrade for many combat-oriented Hereteks, this two-metre mechanical limb emerges from the shoulder or back and is covered with writhing power conduits. It may be armed with any Pistol-class weapon with the Compact Upgrade. The Heretic may attack with this weapon as his Reaction. A Heretic must have the appropriate Mechadendrite Use Talent to operate this implant."
Bionic Arm,BC,Core,0,Scarce,"One of the more common replacement limbs to be found, Common Craftsmanship versions ape a normal hand and arm exactly, retaining strength, dexterity and sense of touch. Poor Craftsmanship versions are more cumbersome and visibly artificial; halve the owner’s Agility score where matters of fine dexterity are involved. In addition, Weapon Skill and Ballistic Skill Tests made when using the limb take a –5 penalty. Good bionic arms improve on natural design and provide a +10 bonus on Agility Tests requiring delicate manipulation. Best Craftsmanship arms add a +10 bonus to Strength Tests using the arm and can be used to store small items such as pistol ammo clips inside concealed interior compartments."
Bionic Legs,BC,Core,0,Scarce,"In the basic common version, locomotion bionics are fully integrated into the hip with spinal link and allow a Heretic to walk, run, and climb at human norm levels. Poor Craftsmanship models, however, are lumbering affairs that reduce a Heretic’s movement rate by one (rounding up), and when running the user must succeed on an Agility Test or fall at the end of his movement. Good Craftsmanship level artifi cial legs grant the owner the Sprint Talent and add a +20 bonus to Athletics Tests made to jump or leap."
Bionic Respiratory System,BC,Core,0,Rare,"Bionic respiratory systems are often a must due to damage caused by the often exceedingly toxic atmospheres to be found in many settings. Common Craftsmanship bionic lungs and implanted respiratory systems allow the user to breathe as normal and gain a +20 bonus to Toughness Tests made to resist airborne toxins and gas weapons. Poor bionic lungs offer the same benefi ts as the Common system, but require louder mechanical fi ltration systems and users suffer a –20 penalty to all Silent Move checks. They are also overall less effective in blood oxygenatation and all tests involving strenuous physical activity are increased by one level of difficulty. Good bionic lungs count as a full life support system, so if for any reason the user’s own respiratory system fails, his bionic lungs will keep his blood oxygenated. These systems are generally unnoticeable when designed to be so."
Black Blood (Autosanguine),BC,Core,0,Very Rare,"A combination of microtech from the Dark Ages and obscene xenos biotech fl ows though veins now forever tainted. The minions of the Omnissiah refer to this as Autosanguine, but those who call themselves the Dark Mechanicus know it as Black Blood. Too small to see but powerful in their vast numbers, these machines can repair minor injuries and speed healing. When applying healing the Heretic is always considered Lightly Wounded; he also heals much faster than mere mortals and removes two points of Damage per day."
Blade-tines,BC,Core,0,Rare,"Long, thin blades sprout from one of the Heretic’s hands, razor sharp and useful as scalpels or cutting weapons. The hand must be completely rebuilt to accommodate this, and most versions feature long, spindly fi ngers that can extend past the blades to allow for dextrous tasks. The full appearance is decidedly unpleasant and even downright sinister. The blade-tines grant the Heretic +5 to Medicae Tests, +5 to Interrogation Tests, and can be used as a melee weapon in close combat, dealing 1d5+2 (plus Strength Bonus) Damage with a Penetration of 2. Good Craftsmanship versions can vibrate the blades at high frequencies, increasing the cutting power. The weapons gain the Tearing Trait. Best Craftsmanship versions also include drug producing bio-mechanical glands, with thin tubules to carry the venomous liquids to small openings underneath the blades. This grants the weapons the Toxic (0) Quality. Poor Craftsmanship versions only deal 1d5 plus Strength Bonus Damage without any Penetration."
