Name,Alternate Names,Value,Prerequisites,Action,Focus Power,Range,Sustained,Subtype,Description
Abhorrent Ward [Corruption],"Repulsive Shield, Mantle of Esh’raiik, Bulwark of Detestation",300xp,"Corruption 30+, Psy Rating 4",Half Action,Challenging (+0) Corruption Test,Self,Half Action,Concentration,"The Sorcerer’s tainted soul draws to it the denizens of the warp, who clamour to his presence. At his command, they can press against the skin of reality, their shrieks and howls and the visions they inflict horrific to behold. Few beings have the mental fortitude to gaze upon a being surrounded by a cacophonous swarm of daemons, disrupting their ability to target him. While this power remains in effect, any creature attempting to target the Sorcerer with any form of attack must attempt a Willpower Test, with a –5 times the Sorcerer’s Psy Rating penalty. If the attacker succeeds at this test, he may attack as normal. However, failure means that his revulsion prevents him attacking. He may choose another target to attack instead. Psychic Phenomena: The pressure of daemonic horde tearing at the fabric of existence thins the veil, making it risky for psykers to draw too deeply from the warp. While this power remains in effect, any psyker within 30m must add +20 to all rolls on the Psychic Phenomena table (including any generated by this power)."
Doombolt,"Shards of Malice, Fist of Ruin",200xp,None,Half Action,Challenging (+0) Willpower Test,20 metres x Psy Rating,No,"Attack, Concentration","Known by a variety of names, the Doombolt is a common destructive power utilised by a great many Chaos magos to strike down their foes. Formed from the coalesced spite and loathing of the Sorcerer, they are corrosive bolts of dark energy, raining down like black hail upon the enemy. As the Sorcerer conjures these bitter projectiles with clenched fi sts, he fi lls the air with the stench of brimstone and the booming roar of daemons for the brief moment of the power’s manifestation. Doombolt is a Psychic Barrage that deals 1d10+ Psy Rating Energy Damage with a Pen of 8."
Foul Cage,"Chains of Torment, Bonds of Flesh",300xp,Psy Rating 4,Full Action,Opposed Challenging (+0) Willpower Test,25 metres x Psy Rating,Half Action,"Attack, Concentration","Great long bonds of warp-spawned ropes, chains, and lengths of barbed sinew erupt from the ground and wind themselves around any creatures within reach. These bonds ensnare and constrict as if alive, and sprout barbs and thorns which dig deep into the fl esh of those so ensnared. Foul Cage is a Psychic Blast with a radius equal to the power’s Psy Rating, that deals 1d10+3 R Damage with the Crippling (1d10), Snare (2) and Tearing qualities."
Gift Of Chaos,"Fleshy Curse, Indigo Fire of Change,",400xp,"Psy Rating 5, Infamy 40+",Half Action,Opposed Hard (–20) Willpower Test,1 metre x Psy Rating,No,"Attack, Concentration","The Sorcerer tears a miniscule hole in reality for the briefest of moments, exposing a single foe to the full splendour of the warp. In seconds, their fl esh is remade anew by the glory of Chaos, creating a howling, screaming mass of corrupted matter that thrashes and fl ails as it succumbs to mutation after mutation. The target opposes this power with a Toughness Test. If the target wins, it suffers no Damage. If it loses, it suffers 1d10 Damage +2 per Degree of Failure, ignoring Toughness Bonus and Armour. If the target loses the Test by four or more Degrees, the target mutates, immediately suffering a random Gift of Gods (see page 291)—at the GM’s discretion, minor NPCs or adversaries can simply be transformed into a mewling, disgusting, and harmless Chaos Spawn, effectively killing them."
Hatestorm,"Dream of Rage, Deluge of Fury",400xp,"Psy Rating 4, Frenzy, Hatred (Any One)",Half Action,Difficult (–10) Willpower Test,5 metres x Psy Rating radius,Half Action,Attack,"The Sorcerer calls upon the dark gods to gift him with a portion of their own hatred, and becomes the crackling focus of an aura of dark energy. Anyone caught within this explosion of unholy power fi nds himself with a psychotic hatred of all living things, hurling themselves at their foes at the fi rst opportunity. The hellish psychic echoes of the warp are easy for a Sorcerer to fi nd, though a challenge to control, often proving overwhelming for the unsuspecting. While this power remains in effect, the Sorcerer, and all creatures within the power’s radius immediately enter a Frenzied state, as if they had the Frenzy Talent. They will remain in this state for as long as they remain within the power’s radius. The Sorcerer may continue to manifest psychic powers even while Frenzied."
Host Of Fiends,"Cavalcade of Horrors, Cacophonous Mass",200xp,Psy Rating 3,Full Action,Challenging (+0) Willpower Test,5 metres per Psy Rating radius,Free Action,"Attack, Concentration","The veil between reality and the warp is made thin and porous, allowing even the least of daemons to scratch and claw at the edge of the universe, their distant shrieks and howls and the nightmarish images they produce tormenting all mortals within their reach. Those who call such forces into being revel in the blasphemy they inflict and the suffering that comes from their presence. All of the Sorcerer’s enemies within range of this power suffer a –2 x PR penalty to all Willpower Tests. In addition, every time a creature affected by this power fails a Willpower Test, they gain 1d5 Corruption Points for every Degree of Failure."
Warptime,"Swift as Karanak, Gods’ Speed",400xp,Psy Rating 4,Half Action,Difficult (–10) Willpower Test,Self,Free Action,Concentration,"The timeless nature of the warp grants the cunning Sorcerer the means to defy the normal limits of time, hastening his movements and refl exes such that his enemies appear to be moving in slow motion. Many liken it to the terrifying speed of Khorne’s hunting hound, a fi gure that holds particular horror for psykers. The Sorcerer gains the Unnatural Weapon Skill, Unnatural Ballistic Skill and Unnatural Agility traits, all at values equal to his Psy Rating."
Wind Of Chaos [Corruption],"Stream of Corruption, Scintillating",300xp,Corruption 30+,Half Action,Opposed Challenging (+0) Corruption Test,5 metres x Psy Rating,No,"Attack, Concentration","Reaching deep into the corruption within his soul, the Sorcerer unleashes a wave of energy that leaves devastation in its wake. Depending upon the devotions of the Sorcerer, the nature of this outpouring of corrupt power varies—those devoted to Nurgle produce a stream of bilious fi lth, while a rain of hypnotic luminescence or glittering golden light characterises the powers of a Slaanesh Sorcerer. Every Sorcerer’s Wind of Chaos is subtly different, coloured by their own prejudices and insanity. The Sorcerer produces a torrent of foul energy in a 30-degree cone out to the power’s range, similar to a weapon with the Spray quality. Creatures caught within the spray may oppose the Focus Power Test with an Agility Test. Any creature that does not successfully avoid the power’s effects suffers 2d10 + Psy Rating Energy Damage with the Felling (2), Tainted, and Warp Weapon Qualities, plus a single additional Quality determined by the Sorcerer’s alignment. If used by a Tzeentch Sorcerer, Wind of Chaos gains the Flame quality. If used by a Slaanesh Sorcerer, Wind of Chaos gains the Shocking quality. If used by a Nurgle Sorcerer, Wind of Chaos gains the Toxic quality. If used by an unaligned Sorcerer, Wind of Chaos gains the Tearing quality. Psychic Phenomena: The psychic residue of the power’s effects lingers on every surface for a few moments longer, whether ablaze with guttering azure fl ame, spattered in filth, or coated in a fi ne glittering dust imbued with the echoes of sensation. Until the start of the Sorcerer’s next turn, every creature within 3d10 metres of the Sorcerer suffers a –10 penalty on all Willpower Tests due to the disconcerting and disruptive aftereffects of the Wind of Chaos. This is in addition to any normal Psychic Phenomena that might be manifested."
Choir Of Poxes,"Litany of Pestilence, Delirious Chant",100xp,Aligned Nurgle,Full Action,Difficult Opposed (–10) Willpower Test,30 metres,No,"Attack, Concentration","As enacted by Nurgle’s daemonic legions, the Sorcerer’s throat rattles with the names of every disease he has ever suffered from, and every disease that Nurgle has ever gifted mortals with. Those caught within earshot of this pestilential incantation fi nd themselves wracked with spasms of pain and delirium, as the Sorcerer speaks the true names of different diseases, invoking plagues both ancient and yet to occur. Creatures caught within range of this power may oppose the Focus Power Test with a Toughness Test, suffering an additional –10 penalty if they have the Heightened Senses (Hearing) Talent. Any creature that fails to resist this power takes 1d10 + Psy Rating Damage and is stunned until the start of its next turn."
Inviolable Flesh,"Effluent Form, Vigour Mortis",200xp,"Aligned Nurgle, Toughness 40+",Half Action,Hard (–20) Willpower Test,Self,Free Action,Concentration,"The Sorcerer’s fl esh twists and changes to resemble the blessed effluents of the Plague God, becoming crusted with fi lth and foulness such that the blows of the enemy do not cut so deep. Gifted with such a pestilential form, the Sorcerer can shrug off injuries that would fell a lesser man. While this power is in effect, the Sorcerer gains the Unnatural Toughness Trait with a rating equal to the sorcerer’s Psy Rating. However, so encumbered by fi lth is the Sorcerer that he suffers a –10 penalty to his Agility characteristic."
Leper’S Curse,"Dessicant Word, Thousandth Necrotic",400xp,"Mark of Nurgle, Psy Rating 5",Half Action,Challenging (+0) Willpower Test,5 metres x Psy Rating,None,"Attack, Concentration","Whispering an incantation taught to him by a Plaguebearer, the Sorcerer focuses a stream of decay into one of his victim’s body parts. At this foul command, the victim’s fl esh and bone wither away in a display of glorious atrophy, leaving shrivelled ruin in the spell’s wake. Some sorcerers know this as the Thousandth Necrotic Invocation, one in a long list of vile syllables beloved of the Grandfather of Pestilence and capable of inflicting terrible afflictions upon their victims. This power is a Psychic Bolt that causes the target to suffer a single Rending Critical Effect equal to 1d10. Leper’s Curse does not do Damage to Wounds, but can cause limb loss, blood loss, or even death, depending on the Critical Effect.An opponent can only be targeted by the Leper’s Curse once per combat."
Nurgle’S Rot [Corruption],"The Destroyer Hive, Heart of Contagion,",400xp,"Corruption 30+, Aligned Nurgle",Half Action,Challenging (+0) Corruption Test,5 metres x Psy Rating radius,Half Action,"Attack, Concentration","The grandest and most infamous of Nurgle’s contagions, Nurgle’s Rot is known by many names and has appeared on countless worlds, leaving entire populations desolated by this terrible daemonic pathogen. Nurgle’s devoted sorcerers take on all manner of diseases, serving as host to the creations of the Lord of Plagues. From this seething mass of decay and entropy, these devotees of pestilence summon forth the psychic echo of this paragon of plagues, inflicting it upon those nearby. The infectious gift of Nurgle is cast outward to embrace all who stray too near to the Sorcerer. Creatures within range of the Sorcerer while this power remains in effect suffer 1d10 + Psy Rating Damage, with the Tainted and Toxic (4) qualities. The damage ignores Armour unless it is environmentally sealed. Those Devoted to Nurgle are unaffected by this power. Psychic Phenomena: While this power remains in effect, the air within the power’s range is filled with a thick, acrid fog and swarms of massive bloated fl ies. Any creature within range that is not devoted to Nurgle suffers a –5 penalty to Weapon Skill, Ballistic Skill, Intelligence, Perception and Fellowship Tests as the foul vapour and buzzing fl ies hinder their concentration and drive them to distraction. This is in addition to any normal Psychic Phenomena."
Field Of Pestilence,"Pestilent Earth, The Plaguefather’s Quagmire",300xp,Aligned Nurgle,Full Action,Hard (–20) Willpower Test,5 metres x Psy Rating radius,Free Action,Concentration,"While touching the ground beneath his feet, the Sorcerer conjures forth a wave of pestilence and decay, turning hardened soil into a morass of greenish-grey sludge. Many sorcerers invoke litanies of infertility or speak prayers of desecration, while others trace abhorrent runes in the dirt or pour jars of diseased blood onto the ground. Many sorcerers believe that this power was granted to mortals by one of the most renowned of Nurgle’s daemons. While this power remains in effect, the ground around the Sorcerer, which moves as he does (centred on him at all times), becomes swamp-like. Any creature—with the exception of the Sorcerer himself—within the power’s radius must pass a Challenging (+0) Agility Test or fall whenever attempting to move faster than a normal Half Action movement rate."
Putrefying Embrace,"Epidemic Touch, Hand of Filth",200xp,Mark of Nurgle,Half Action,Very Hard (–30) Willpower Test,Self,Yes,Concentration,"The Sorcerer reaches out with arms dripping in foulness, to corrupt anything he touches. A single touch spreads stinking pus and other vile fluids, defi ling anything they are left upon. The sorcerer’s unarmed melee attacks deal 1d10+Psy Rating I Damage and gain the Toxic (3) Quality, and he counts as having the Deadly Natural Weapons Trait. The Sorcerer’s Strength Bonus is not added to the Damage."
Rain Of Foulness,"Torrent of Decay, the Grandfather’s Gift",300xp,Aligned Nurgle,Half Action,Challenging (+0) Willpower Test,20m x Psy Rating,Half Action,"Attack, Concentration","At the Sorcerer’s command, the skies fi ll with brooding, discoloured clouds that split open and pour fi lth and rotten blood down upon the Sorcerer’s foes. Few can do little more than fl ee from this downpour of vileness. The most devout of Nurgle’s sorcerers speak of this power as being a gift from Grandfather Nurgle, bestowed upon the world from the Plague Lord’s domain. This power is a Psychic Blast with a radius of 1+ the Degrees of Success on the Focus Power Test. Anyone caught within the area of effect suffers 1d10+7 I Damage with a Pen equal to Psy Rating and the Toxic (3) Quality, and must take a Pinning Test."
Acquiescence,"Moment of Submission, Silver Haze",300xp,"Devoted to Slaanesh, WP 50+, Psy Rating 4",Half Action,Challenging (+0) Opposed Willpower Test,20 metres x Psy Rating,No,"Attack, Concentration","The Sorcerer conjures a spark of delusion, overwhelming the target’s mind with contradictory thoughts and feelings that drive him to distraction, incapable of performing any action amidst the psychic fog. Slaanesh sorcerers sometimes describe the power as a silvery fog that overwhelms all sensation, conjured with entrancing words whispered under the breath. The Sorcerer nominates a single enemy within range, who resists the power with a Willpower Test. Every Degree of Success on the Sorcerer’s Focus Power Test causes the victim to be Stunned for 1 turn. Losing the Test by fi ve or more Degrees causes the victim to be rendered unconscious instead."
Ecstatic Oblivion,"Pleasure from Pain, Desolate Soul",250xp,"Mark of Slaanesh, Toughness 40+, Psy Rating 4",Half Action,Challenging (+0) Willpower Test,Self,Free Action,Concentration,"The Sorcerer summons up every flickering moment of stray emotion he can fi nd within the Immaterium, and draws them into himself, overwhelming his own senses and rendering him oblivious to the sensations of battle around him. Many sorcerers become addicted to the sensations they conjure, burning away their soul with warp-spawned ecstasy. While this power remains in effect, the Sorcerer cannot be stunned or rendered unconscious, nor is he affected by fatigue. In addition, he is so addled by sensation that he can push his body far beyond its normal limits, gaining Unnatural Strength and Unnatural Agility at a value equal to half the Sorcerer’s Psy Rating. However, he suffers a –20 penalty to all Perception Tests."
Hellshriek [Corruption],"Eidolon’s Call, Psyren Song",400xp,"Mark of Slaanesh, Corruption 50+",Half Action,Challenging (+0) Corruption Test,3 metres x Psy Rating radius,No,"Attack, Concentration","The Sorcerer reaches deep into the warp and produces a soul-shattering noise that inflicts terrible pain upon those that hear it. Many sorcerers attribute this power to the genetic tampering of Fabius Bile during the early days of the Heresy, and to the engineered talents of Lord-Commander Eidolon of the Emperor’s Children. A Hellshriek is a Psychic Blast centred on the Sorcerer. Any creature within the area of effect, with the exception of the Sorcerer, suffers 2d10 + Psy Rating Rending Damage with the Concussive (1) and Warp Weapon Qualities. Psychic Phenomena: The shrieking cry of the Sorcerer reverberates through the warp, echoing for moments after the initial blast of sound, lingering in the ears and minds of those nearby. Until the start of the Sorcerer’s next turn, all creatures within range of the power suffer a –20 penalty to all Perception Tests. This is in addition to any normal psychic phenomena."
Lash Of Submission,"Bond of Dominion, Beam of Slaanesh",400xp,"Aligned Slaanesh, Willpower 50+, Psy Rating 4",Half Action,Challenging Opposed (+0) Willpower Test,Psy Rating metres,No,"Attack, Concentration","The Sorcerer projects a lurid, glowing cord of energy that wraps itself around his enemies, worming itself into their minds and overwhelming their will for a few brief moments. Many sorcerers take a perverse pleasure in making others dance like puppets for them, becoming enthralled by the horrific acts they can make others perform. The Sorcerer nominates a single creature within range and line of sight, which may resist the power using a Willpower Test. If the test is failed, then the creature’s actions, for a number of turns equal to the Sorcerer’s Psy Rating, are chosen by the Sorcerer instead. The victim may only perform a single half action each turn he is controlled, and may not perform any action with the Concentration subtype."
Soul’S Secrets Unleashed,"Mastery of the Soul, The Dark Prince’s",500xp,"Mark of Slaanesh, WP 50+, Psy Rating 6",Full Action,Very Hard (–30) Opposed Willpower Test,25 metres x Psy Rating,No,"Attack, Concentration","The Sorcerer becomes a mouthpiece for the infinite voice of Slaanesh, crawling deep into the mind of a chosen victim, calling forth the darkest desires from the depths of his victim’s soul, unleashing them and giving them free reign. Slaanesh sorcerers consider this power to be the greatest of blessings they can bestow upon a mortal soul. The Sorcerer nominates a single creature within range, who may resist this power with a Willpower Test (the opposing Test for the Focus Power Test). If this test is failed, then the victim’s darkest impulses take control of his mind for a number of turns equal to the Sorcerer’s Psy Rating. During this time, he acts in accordance with the most destructive side of his personality, unrestrained by self-control, and attacks the nearest target (creature, Heretic, or NPC) with his most powerful weapons. He will not take suicidal actions such as leaping off a building to attack someone in melee, but he still takes otherwise foolhardy risks and automatically passes Willpower Tests to resist Fear or Pinning. He is also immune to stunning and the effects of Fatigue."
Symphony Of Pain,"N’Kari’s Concerto, Malignant Song",300xp,"Mark of Slaanesh, Toughness 40+, Psy Rating 4",Full Action,Hard (–20) Willpower Test,5 metres x Psy Rating radius,Half Action,"Attack, Concentration","The Sorcerer casts his arms wide, as if conducting a great orchestra of cavorting daemons that howl and dance around his echo within the Immaterium. Their siren call warps the minds of those nearby, causing blinding sheets of pain. This power emanates from the Sorcerer in all directions, out to the listed radius. All creatures within that range—excepting those Devoted to Slaanesh—while the power remains in effect, are stunned for one turn and gain a number of levels of Fatigue equal to the Sorcerer’s Psy Rating if they roll a double on any Test they make for any Action they attempt."
Bolt Of Change,"Crimson Fire of Tzeentch, M’Kachan’s",500xp,"Mark of Tzeentch, WP 50+, Psy Rating 5",Half Action,Challenging (+0) Willpower Test,10 metres x Psy Rating,No,"Attack, Concentration","The Sorcerer focuses his will and his wrath into a searing bolt of warp-fl ame—often red, due to the pervasive lore of the many-coloured fi res of Tzeentch—that reduces enemies to twitching masses of mutating gore, or swirling whirlwinds of iridescent ash. Few substances can withstand the corrupting energies of a Bolt of Change. Bolt of Change is a Psychic Bolt that deals Xd10 Energy Damage with a Pen of 9 (where X equals the sorcerer’s Psy Rating), and with the Felling (Psy Rating) Quality. In addition, a living creature struck by a Bolt of Change must immediately make a Challenging (+0) Toughness Test. Failure indicates that the target gains 1d5 Corruption Points for every Degree of Failure. Five or more Degrees of Failure indicates that the target becomes subject to swift and catastrophic mutation, transforming into a Chaos Spawn that swiftly collapses into a puddle of shrieking ichor."
Boon Of Tzeentch,"The Cyclops’ Gift, Emerald Flame of",300xp,"Aligned Tzeentch, Psy Rating 4",Half Action,Challenging (+0) Willpower Test,Self,No,"Attack, Concentration","The Sorcerer reaches deep into the warp for greater power, bolstering his already potent abilities further. Many sorcerers learn this power from ancient copies and fragments of the Book of Magnus, conjuring a searing green fi re that augments sorcerous might in those strong enough to wield it, and which may immolate those who grasp foolishly at the power it provides. The Sorcerer gains a bonus to his Psy Rating for every Degree of Success he scores on the Focus Power Test, which may only be used on the next power the Sorcerer uses and only if that power is used at the Unfettered power level or Higher. However, upon using that bonus Psy Rating, the Sorcerer suffers an immediate hit, dealing 1d5 plus Psy Rating of the second power Damage with a Pen of 4 and the Shocking Quality. This hit cannot be Dodged, Parried, or blocked through a Field Save."
