Name,Class,Range,RoF,Dam,Dam Type,Pen,Clip,Rld,Special,Wt,Availability,Group,Book,Description
Hell Hammer Lascannon,Heavy,300m,S/–/–,5d10+10,E,10,5,2 Full,Proven (3),55kg,Extremely Rare,Las,Core,"A common variant of the man-portable lascannon used by the Imperial Guard, the Hell Hammer is a large bulky weapon that usually has a crew of two or three men, or one Traitor Legionnaire. Though it is awkward to wield, it can fire laser beams with enough force to punch through a battle tank."
Lasgun,Basic,100m,S/3/–,1d10+3,E,0,60,Full,Reliable,4kg,Common,Las,Core,"Produced in the trillions, the lasgun (created in hundreds of local and Imperial patterns) varies in shape and appearance but remains a reliable and functional infantry rifle. Thoughthere are more powerful weapons, few rival the lasgun’s dependability and robustness."
Laspistol,Pistol,30m,S/2/–,1d10+2,E,0,30,Half,Reliable,1.5kg,Common,Las,Core,"As common as the lasgun, the laspistol is the backup weapon of choice for both Imperial forces and many of their foes. It is a favoured sidearm for Imperial and Renegade officers alike, and shares the lasgun’s reliability."
Las Carbine,Basic,75m,S/2/–,1d10+3,E,0,60,Half,Reliable,2.5kg,Common,Las,Core,"A cut-down version of the lasgun, the las carbine makes a good backup weapon, often given to vehicle crews or support staff. Their smaller construction (they have shorter barrels and often come with folding stocks) mean they are popular with those who wish to carry a concealed weapon as well. Las carbines can be fi red with one hand at only a –10 penalty, rather than the normal –20 penalty for basic weapons."
Long-Las,Basic,150m,S/–/–,1d10+3,E,1,40,Full,"Accurate, Reliable, Felling (4)",4.5kg,Scarce,Las,Core,"Favoured by snipers, the long-las is a specially modifi ed version of the lasgun constructed for added range and accuracy. As it’s name implies, a long-las has a much longer barrel than a lasgun, both to increase range and prevent overheating."
M41 Multilaser,Heavy,150m,–/–/5,2d10+10,E,2,100,2 Full,Reliable,35kg,Very Rare,Las,Core,"Often found mounted on vehicles as a counter to infantry and light vehicles, the multi-laser is a multi-barrelled gatling laser with an impressive rate of fi re. However, its blasts lack the penetration of the lascannon, making it less effective against heavy armour."
Autogun,Basic,100m,S/3/10,1d10+3,I,0,30,Full,—,5kg,Average,SP,Core,"Autoguns are cheap and easy to produce weapons, popular when lasguns are not available. A typical weapon may not be incredibly accurate or as reliable as a lasgun, but will make up for it with a high rate of fire and cheap ammunition. Most autoguns fire solid low-calibre slugs from standardised clips, and the design is ubiquitous enough that many xenos have their own variants."
Autopistol,Pistol,30m,S/–/6,1d10+2,I,0,18,Full,—,1.5kg,Average,SP,Core,"A common weapon for hivers and scum, the autopistol is a pistol capable of a high rate of fire and access to a variety of ammo types."
Assault Shotgun,Basic,30m,S/3/–,1d10+4,I,0,12,2 Full,Scatter,5.5kg,Scarce,SP,Core,"The assault shotgun is a combat-ready version of the standard pump-action shotgun. The ability to fire on semi-auto makes the assault shotgun a dangerous weapon, able to fill entire rooms with a hail of indiscriminate and deadly buckshot."
Bow,Basic,40m,S/–/–,1d10,R,0,1,Half,"Primitive (6), Reliable",2kg,Plentiful,SP,Core,"One of the oldest weapons in civilisation, bows can range from primitive constructions of wood and sinew to weapons made from fine composites and wire micro-fibres. Their primary utility is silence, as they are relatively ineffective compared to modern weapons."
