Name,Type,Characteristic Bonus,Characteristic Penalty,Description,Special Modifier
Beauty,Pride,infamy: 2,willpower: 4,The Heretic defines himself by his physical appearance. He takes pride in his physical form and is even known and revered for it.,
Charm,Pride,fellowship: 5,toughness: 5,"The Heretic expects the respect and obedience of those around him. He revels in their worship, praise, and self-sacrifice in his name, and depends upon their assistance.",
Craftsmanship,Pride,"infamy: 1, agility: 3, intelligence: 3","weapon skill: 3, ballistic skill: 3","No one has the combination of talent and training to create in the same way as the Heretic. He is a master artist whose works will be admired by all denizens of the galaxy until the stars grow cold. Characteristic modifier: +1 Infamy, +3 Agility, +3 Intelligence, –3 Weapon Skill, –3 Ballistic Skill.",
Devotion,Pride,willpower: 5,strength: 5,"The character’s faith in the Chaos sustains him. He is confident that there never has been nor will there ever be another follower of the cause as self-sacrificing. He believes that this grants him a special status to the Dark Gods, but is wont to rely on this instead of his own strength.",
Fortitude,Pride,toughness: 5,"agility: 3, intelligence: 3","The Heretic is strong and tough, able to shrug off blows that might kill a lesser man. Though his fortitude is impressive, it comes at a cost of flexibility and adaptability.",
Foresight,Pride,perception: 5,fellowship: 5,"The character believes that he is aware of the actions and schemes of everyone and everything around him. He constantly observes those around him, believing that the knowledge will allow him to control them. This does make the character rather cold around others.",
Logic,Pride,intelligence: 5,perception: 5,The Heretic believes that his daunting intellect grants him the ability to understand and resolve every situation in the most efficient and effective manner imaginable.,
Martial Prowess,Pride,weapon skill: 5,intelligence: 5,"The Heretic actively seeks out combat as a way to prove himself and can never refuse a challenge to do battle, no matter the odds. Characteristic modifi er: +5 Weapon Skill, –5 Intelligence.",
Grace,Pride,agility: 5,ballistic skill: 5,"The Heretic is proud of his grace and speed, so much so that he disdains the vulgarity of ranged combat and delights in engaging his opponents up close.",
Wealth,Pride,,willpower: 3,The character has defined himself entirely by his possessions. Others must look upon the grandeur and seethe with jealousy. ,Starting Equipment: The character makes an extra Acquisition Test with a +20 bonus prior to beginning play.
Betrayal,Disgrace,corruption: 5,,"The Heretic believes in looking out for his own interests first and foremost. Those around him are assets for only as long as they may be useful to his needs. Once their usefulness has been completed, their survival is subject to his whim of the moment.",Untrustworthy: The character receives a –10 Situational Modifier to all Charm attempts.
Deceit,Disgrace,infamy: 2,perception: 4,"As all of reality is little more than a matter of perception, truth is a relative concept. This Heretic exploits that philosophy to the utmost. Much of what he says is compulsively cloaked in falsehood. Even in the most strict of circumstances, he feels tempted to colour the truth.",
Dread,Disgrace,perception: 5,willpower: 5,"Something in the Heretic’s past haunts him; a fear that dominates his life. Though he may ignore it for a time, it never leaves him completely.",
