name,description
Accurate,"Some weapons are designed with precision in mind and respond superbly to skilled hands. They grant an additional bonus of +10 to the firer’s Ballistic Skill when used with an Aim Action, in addition to the bonus granted from Aiming. When fi ring a single shot from a single Basic Weapon with the Accurate Quality benefi ting from the Aim action, the attack gains an extra 1d10 Damage for every two Degrees of Success to a maximum of two extra 1d10. These extra d10s cannot generate Zealous Hatred. "
Balanced,"Some weapons, such as swords and knives, are designed so that the weight of the hilt balances the weight of the blade, making the weapon easier to wield. Balanced weapons grant a +10 bonus to Parry Tests when using this weapon. Even if the wielder is using multiple Balanced weapons, he only gains the bonus once. "
Blast (X),"Many missiles, grenades and some guns create an explosion when they hit their target. When working out a hit from a Blast weapon, anyone within the weapon’s blast radius in metres (indicated by the number in parenthesis) is also hit. Roll Damage once and apply it to each person affected by the blast. "
Concussive (X),"Some weapons create a deafening blast or shock wave when they hit. When target is struck by a Concussive weapon, must take a Toughness Test with a penalty equal to 10 times the number in parenthesis (X). For example a weapon with Concussive (2) would impose a –20 on Toughness Tests, and Concussive (0) would be a Test with no penalty. If he fails, target is stunned for 1 round per Degree of Failure. Additionally, if the target takes Damage greater than his Strength Bonus, the target is knocked Prone. "
Crippling (X),"Particularly cruel or deadly weapons sometimes include things like living barbs or shards that remain in their victims’ wounds causing them immense pain and even slowly killing them. When a target suffers at least one wound from this weapon they count as being “crippled” for the remainder of the encounter or until healed of all Damage. If a crippled character takes more than a Half Action on their turn, they suffer Rending Damage equal to the number in parenthesis (X). This Damage is not reduced by armour or Toughness. "
Defensive,"A Defensive weapon, such as a shield, is intended to be used to block attacks and is awkward when used for making attacks. Defensive weapons grant a +15 bonus to tests made when used to Parry, but take a –10 penalty when used to make attacks. "
Devastating (X),"If the target is a horde, a successful hit from this weapon reduces the Horde’s Magnitude by an additional amount equal to X. "
Felling (X),"To kill powerful foes often requires fearsome weapons or special rounds with the ability to punch through even the toughest hides. When calculating damage from Felling weapons, reduce the target’s Unnatural Toughness Bonus by the number in parenthesis (X). Felling only reduces Unnatural Toughness, not the target’s base Toughness Bonus. The reduction occurs for calculating Damage only, and does not persist. "
Flame,"Some weapons belch great gouts of flame, igniting anything they strike. If a target of a Flame attack is hit (even if he suffers no Damage), he must succeed on an Agility Test or be set on fire (see page 247). "
Flexible,"Some weapons are made up of a multitude of loosely connected segments, such as chains, while others, such as whips, are woven from supple hides. These kinds of weapons lash about when used to attack and cannot be Parried. "
Force,"Used exclusively by psykers, these weapons combine archeotech circuitry pattern with rare psycho-reactive crystals to channel their mental power into deadly, realityrending force. Force weapons can take many forms, and comprise several specialised variants, but are largely restricted to swords, staves, and axes. Any melee weapon with the Primitive Quality can be a Force weapon, and increases its Availability to Extremely Rare. Unless wielded by a psyker, Force weapons simply count as normal weapons of their type and are not considered to have the Force Quality. In the hands of a wielder with a Psy Rating, their true power is revealed. For every point of Psy Rating the wielder has, the weapon’s Damage and Penetration increase by +1. If the weapon possesses the Primitive Quality, it loses this Quality. For example, a Force sword wielded by a character with Psy Rating 3 would infl ict 1d10+3 (plus SB) and have a Penetration of 3. In addition to normal Damage, whenever a psyker Damages an opponent, he may, as a Free Action, channel psychic force and killing will into the blade. This requires a Focus Power Test using Opposed Willpower. For every Degree of Success, the Force weapon’s wielder deals an additional 1d10 E Damage, ignoring the victim’s Armour and Toughness Bonus. Force weapons cannot be destroyed by a power weapon’s field. "
Gyro-Stabilised,"The weapon has a small auto-stabilisation unit that is typically built towards the end of the barrel. While not as powerful as a suspensor, the gyro-stabiliser helps keep the weapon levelled at the optimal firing angle. A Gyro-Stabilised weapon never counts its target as being farther than Long Range (normal maximum range still applies). Heavy weapons with this Quality reduce the penalty for firing without Bracing to –20. "
Hallucinogenic (X),"Hallucinogenic weapons use drugs or mind-altering exotic energy to disorient or disable their targets, often inducing a variety of short-lived psychological states and delusions. When a creature takes a hit from a Hallucinogenic weapon it must make a Toughness Test with a penalty equal to 10 times the number in parenthesis (X) or suffer a temporary delusion and roll 1d100 on Table 5-1: Hallucinogenic Effects. Respirators and sealed armour provide a +20 bonus to this Test. The effects last for 1 Round, plus 1 additional Round for every Degree of Failure. "
