Name,Class,Range,RoF,Dam,Dam Type,Pen,Clip,Rld,Special,Wt,Availability,Group,Book
Hell Hammer Lascannon,Heavy,300m,S/–/–,5d10+10,E,10,5,2 Full,['Proven (3)'],55kg,Extremely Rare,Las,Core
Lasgun,Basic,100m,S/3/–,1d10+3,E,0,60,Full,['Reliable'],4kg,Common,Las,Core
Laspistol,Pistol,30m,S/2/–,1d10+2,E,0,30,Half,['Reliable'],1.5kg,Common,Las,Core
Las Carbine,Basic,75m,S/2/–,1d10+3,E,0,60,Half,['Reliable'],2.5kg,Common,Las,Core
Long-Las,Basic,150m,S/–/–,1d10+3,E,1,40,Full,"['Accurate', 'Reliable', 'Felling (4)']",4.5kg,Scarce,Las,Core
M41 Multilaser,Heavy,150m,–/–/5,2d10+10,E,2,100,2 Full,['Reliable'],35kg,Very Rare,Las,Core
Autogun,Basic,100m,S/3/10,1d10+3,I,0,30,Full,['—'],5kg,Average,SP,Core
Autopistol,Pistol,30m,S/–/6,1d10+2,I,0,18,Full,['—'],1.5kg,Average,SP,Core
Assault Shotgun,Basic,30m,S/3/–,1d10+4,I,0,12,2 Full,['Scatter'],5.5kg,Scarce,SP,Core
Bow,Basic,40m,S/–/–,1d10,R,0,1,Half,"['Primitive (6)', 'Reliable']",2kg,Plentiful,SP,Core
Crossbow,Basic,30m,S/–/–,1d10+1,R,0,1,2 Full,['Primitive (7)'],3kg,Average,SP,Core
Flintlock Pistol,Pistol,15m,S/–/–,1d10+2,I,0,1,3 Full,"['Primitive (8)', 'Innacurate', 'Unreliable']",3kg,Common,SP,Core
Flintlock Musket,Basic,30m,S/–/–,1d10+3,I,0,1,5 Full,"['Primitive (8)', 'Innacurate', 'Unreliable']",7kg,Common,SP,Core
Hand Cannon,Pistol,35m,S/–/–,1d10+4,I,2,5,2 Full,['—'],3kg,Scarce,SP,Core
Harpoon Gun,Heavy,40m,S/–/–,2d10+2,R,0,1,4 Full,"['Crippling (5)', 'Primitive (9)', 'Snare (1)']",18kg,Scarce,SP,Core
Heavy Stubber,Heavy,100m,–/–/8,1d10+5,I,3,75,2 Full,[''],30kg,Rare,SP,Core
Legion Shotgun,Basic,30m,S/2/–,1d10+6,I,0,10,2 Full,"['Reliable', 'Scatter']",10kg,Very Rare,SP,Core
M34 Autocannon,Heavy,300m,S/3/–,3d10+8,I,6,20,2 Full,['Reliable'],40kg,Very Rare,SP,Core
Reaper Autocannon,Heavy,300m,S/4/–,3d10+8,I,6,40,2 Full,"['Reliable', 'Twin-Linked']",60kg,Extremely Rare,SP,Core
Shotgun,Basic,30m,S/–/–,1d10+4,I,0,8,2 Full,['Scatter'],5kg,Plentiful,SP,Core
Stub Automatic,Pistol,30m,S/3/–,1d10+3,I,0,9,Full,['—'],1.5kg,Average,SP,Core
Stub Revolver,Pistol,30m,S/–/–,1d10+3,I,0,6,2 Full,['Reliable'],1.5kg,Plentiful,SP,Core
Stub Rifle,Basic,120m,S/–/–,1d10+3,I,1,5,Full,['Accurate'],5.5kg,Average,SP,Core
Bolter,Basic,100m,S/3/–,1d10+5,X,4,24,Full,['Tearing'],7kg,Very Rare,Bolt,Core
Bolt Pistol,Pistol,30m,S/2/–,1d10+5,X,4,8,Full,['Tearing'],3.5kg,Very Rare,Bolt,Core
Combi-Bolter,Basic,80m,S/3/–,1d10+5,X,4,32,2 Full,"['Tearing', 'Twin-Linked']",12kg,Extremely Rare,Bolt,Core
Heavy Bolter,Heavy,150m,–/–/6,1d10+8,X,5,60,Full,['Tearing'],40kg,Very Rare,Bolt,Core
Legion Bolter,Basic,100m,S/3/–,1d10+9,X,4,24,Full,['Tearing'],10kg,Extremely Rare,Bolt,Core
Legion Bolt Pistol,Pistol,30m,S/2/–,1d10+9,X,4,8,Full,['Tearing'],5.5kg,Extremely Rare,Bolt,Core
Legion Combibolter,Basic,80m,S/4/–,1d10+9,X,4,32,2 Full,"['Tearing', 'Twin-Linked']",15kg,Extremely Rare,Bolt,Core
Legion Heavy Bolter,Heavy,150m,–/–/6,1d10+12,X,5,60,Full,['Tearing'],45kg,Extremely Rare,Bolt,Core
Inferno Pistol,Pistol,10m,S/–/–,2d10+10,E,12,3 Full,Melta,['3kg'],Extremely Rare,Melta,,Core
